post_id,conversation_id,author_id,author_username,author_description,admin1_name,article_url,post_text,post_creation_ts
1775708012671607217,1775605079586005492,25804197,azgreg,Just a simple man from the Arizona desert trying to get through another day.,Arizona,https://www.nytimes.com/2024/04/02/climate/global-warming-clouds-solar-geoengineering.html,@cflav Didn't anybody watch Snowpiercer?,2024-04-04T02:12:35
1778153198831673706,1778149735578116157,902299504069799936,PeterjsBeattie,💙veritas vos liberabit💙 🎖️ News Weather Politics News Politics News Technology Science Entertainment Music Gov Officials & Agencies,Florida,https://www.nytimes.com/2024/04/10/climate/ocean-heat-records.html,@nytimes Climate change? What Climate Change? https://t.co/QdhRy8xyrZ,2024-04-10T20:08:53
1790122032883015702,1790121886564638854,19675644,mattroush,"Husband, dad, grandpa, recovering journalist now in college PR. Proud member Woke Army, Senior Division. MAGAts blocked for the same reason I clean up messes.",Michigan,https://www.nytimes.com/2024/05/13/climate/electric-grid-overhaul-ferc.html,"Oops, I mean one BILLION dollars. Reminds me of a certain movie.",2024-05-13T20:48:46
1776317684365312136,1776315153182503069,21848018,LouisPeitzman,"Mary Testa once said I was great. Bylines: NY Times, Vulture, Time, BuzzFeed. lpeitzman@gmail.com",New York,https://www.nytimes.com/2024/04/04/climate/trains-planes-carbon-footprint-pollution.html,@Jonnynono NEVER.,2024-04-05T18:35:12
1778113594326131074,1778099965429965115,79306562,cranberryhorn,"2 BS; 2 MS degrees. APRN, High School Biology and A&P teacher. Since 2008, RN in ER St Patrick Hospital Missoula, MT  2:46 Marathon  1980 female. ME running HOF",Montana,https://www.nytimes.com/2024/04/10/climate/ocean-heat-records.html,@bkaydw @cardon_brian Thank you so much for sharing this article. I cancelled my NYT due to their continual promotion of DJT and @GOP. I still do want to follow science!,2024-04-10T17:31:31
1785394960042467537,1785368663354220966,1348902656769748994,Ayrhead2,"Free speech, small government and generally the less meddling in my life the better. 
Former RAF, now offshore Oil, gas & renewables. Energy realist.",Missouri,https://www.nytimes.com/2024/04/30/travel/disposable-hotel-slippers-sustainability.html,"@JunkScience @RichFVNC One has to wonder why the myopic focus on insignificant contributors towards plastic waste. 

When they seem to be perfectly okay with putting vast outdoor carpets over green spaces. https://t.co/qsb5ExPInD",2024-04-30T19:45:04
1785417783926280609,1785417077978804499,160325030,NateMJensen,Professor of Government at UT Austin and dad of 3. Retweets are official statements from an NFL owner (1 share of the Packers).,Texas,https://www.nytimes.com/2024/04/30/business/tesla-layoffs-supercharger-team.html,@carolinefan My understanding is that this is the most promising part of the company as well. Some even speculating that they could really be mostly a charging infrastructure company. Weird to gut this.,2024-04-30T21:15:45
1779917597636444633,1779901426640064908,23071537,ConnieDCTrees,"I enjoy tweeting occasionally, love following the news and current events, VOTING and experiencing nature.","Washington, D.C.",https://www.nytimes.com/2024/04/15/climate/coral-reefs-bleaching.html,@JoeNBC Our poor planet.,2024-04-15T16:59:59
1778505509139857536,1778504190199017571,15970784,anarcho,"People's Advisor, Kwihnai Pihi",Nevada,https://www.nytimes.com/2024/04/10/climate/epa-pfas-drinking-water.html,"“Nearly 73 million Americans rely on private companies for drinking and wastewater needs, according to the National Association of Water Companies, which represents a substantial increase over the past five years” Feb. 2024",2024-04-11T19:28:51
1790635094941503877,1790457175992672446,824157980740489222,ShanahStone,Retired APRN #ExpandTheCourt #FillEverySeat #CourtsMatter #abortionishealthcare #akleg #akgov #akelect שׁוֹשַׁנָּה,Alaska,https://www.nytimes.com/2024/05/14/climate/summer-2023-hottest-2000-years.html,@nytimes The world is on fire. F*ck.,2024-05-15T06:47:29
1775258000485445931,1775257454948864022,37580722,Miss_NicciC,I take pictures of people and listen to a lot of R&B and Gospel music. Semi-retired Musician and Journalist. #LoveGodLovePeople,California,https://www.nytimes.com/2024/04/02/business/tesla-auto-sales-first-quarter.html,@rolandsmartin Looks like an April Fools joke,2024-04-02T20:24:24
1777443734486950231,1777317731437539682,443422725,FordWealth,"Student of the Market. Study Fundamentals, Technicals, Sentiment, & Time Cycles. posts are for educational use only. Gold is money   #BuyFear #SellGreed",New York,https://www.nytimes.com/2024/04/05/climate/plastic-recycling.html,@Bleecker__St Then every gas station in the country is at risk of explosion! please don't fill up your car anymore its not worth the risk! Go buy a $TSLA,2024-04-08T21:09:44
1781330349621932469,1781329918074204209,15393123,loril,"Believer in @ClimatePower, forever health care obsessed, Sooner bred lover of all kittens and proud alum of Obama admin.","Washington, D.C.",https://www.nytimes.com/2024/04/19/climate/rfk-jr-environment.html,"RFK Jr. and Trump share a few things: major donors, anti-science views, and opposing clean energy progress. 

Either of them will take us back and leave our planet in worse shape for future generations.",2024-04-19T14:33:45
